Rank,Title,Rating,Image_URL,Episodes,Dates,URL
14,Koe no Katachi,8.96,https://cdn.myanimelist.net/r/50x70/images/anime/1122/96435.jpg?s=56d2750d600af93a5d326daec7748cae,Movie (1 eps),Sep 2016 - Sep 2016,https://myanimelist.net/anime/28851/Koe_no_Katachi
15,Violet Evergarden Movie,8.96,https://cdn.myanimelist.net/r/50x70/images/anime/1825/110716.jpg?s=3ad8359182d0b47905f28d0a68683171,Movie (1 eps),Sep 2020 - Sep 2020,https://myanimelist.net/anime/37987/Violet_Evergarden_Movie
16,Clannad: After Story,8.95,https://cdn.myanimelist.net/r/50x70/images/anime/1299/110774.jpg?s=fcd9db2cfd72c10a2278f483173cfff9,TV (24 eps),Oct 2008 - Mar 2009,https://myanimelist.net/anime/4181/Clannad__After_Story
17,Gintama,8.95,https://cdn.myanimelist.net/r/50x70/images/anime/10/73274.jpg?s=ed42453c10ba12b03b1600d02725a174,TV (201 eps),Apr 2006 - Mar 2010,https://myanimelist.net/anime/918/Gintama
18,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.93,https://cdn.myanimelist.net/r/50x70/images/anime/10/51723.jpg?s=27cd24446486572fb64c42a689d38902,Movie (1 eps),Jul 2013 - Jul 2013,https://myanimelist.net/anime/15335/Gintama_Movie_2__Kanketsu-hen_-_Yorozuya_yo_Eien_Nare
19,Code Geass: Hangyaku no Lelouch R2,8.91,https://cdn.myanimelist.net/r/50x70/images/anime/4/9391.jpg?s=be052972605dd5422ef2df117766cff0,TV (25 eps),Apr 2008 - Sep 2008,https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2
20,Kimetsu no Yaiba: Yuukaku-hen,8.91,https://cdn.myanimelist.net/r/50x70/images/anime/1908/120036.jpg?s=34065463bac342e6efe8bfdbed5d24de,TV (11 eps),Dec 2021 - Feb 2022,https://myanimelist.net/anime/47778/Kimetsu_no_Yaiba__Yuukaku-hen
21,Owarimonogatari 2nd Season,8.90,https://cdn.myanimelist.net/r/50x70/images/anime/6/87322.jpg?s=3e60507a4b6016d83e7433aa4cb7853e,TV (7 eps),Aug 2017 - Aug 2017,https://myanimelist.net/anime/35247/Owarimonogatari_2nd_Season
22,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,8.89,https://cdn.myanimelist.net/r/50x70/images/anime/1776/96566.jpg?s=e1aed468f049dd9444375e9149d33d65,TV (14 eps),Jul 2018 - Oct 2018,https://myanimelist.net/anime/37491/Gintama__Shirogane_no_Tamashii-hen_-_Kouhan-sen
23,Kimi no Na wa.,8.88,https://cdn.myanimelist.net/r/50x70/images/anime/5/87048.jpg?s=2bca128fcb9dfd6d0908f3d9986576c6,Movie (1 eps),Aug 2016 - Aug 2016,https://myanimelist.net/anime/32281/Kimi_no_Na_wa
24,Shingeki no Kyojin: The Final Season,8.88,https://cdn.myanimelist.net/r/50x70/images/anime/1000/110531.jpg?s=3df5ebb6800604dc04c6a6187dd7161b,TV (16 eps),Dec 2020 - Mar 2021,https://myanimelist.net/anime/40028/Shingeki_no_Kyojin__The_Final_Season
25,Shiguang Dailiren,8.83,https://cdn.myanimelist.net/r/50x70/images/anime/1135/114867.jpg?s=048f06f7edb150d017394574a108c72c,ONA (11 eps),Apr 2021 - Jul 2021,https://myanimelist.net/anime/44074/Shiguang_Dailiren
26,Monster,8.82,https://cdn.myanimelist.net/r/50x70/images/anime/10/18793.jpg?s=08c4f10a101c3835eeb14ca0715512bd,TV (74 eps),Apr 2004 - Sep 2005,https://myanimelist.net/anime/19/Monster
27,Gintama.: Shirogane no Tamashii-hen,8.82,https://cdn.myanimelist.net/r/50x70/images/anime/12/89603.jpg?s=635cb89402d5d39f43767f3942e91206,TV (12 eps),Jan 2018 - Mar 2018,https://myanimelist.net/anime/36838/Gintama__Shirogane_no_Tamashii-hen
28,Kizumonogatari III: Reiketsu-hen,8.81,https://cdn.myanimelist.net/r/50x70/images/anime/1084/112813.jpg?s=db4fcf9c5e229584ca1b04bcebe2c3dc,Movie (1 eps),Jan 2017 - Jan 2017,https://myanimelist.net/anime/31758/Kizumonogatari_III__Reiketsu-hen
29,Mob Psycho 100 II,8.81,https://cdn.myanimelist.net/r/50x70/images/anime/1918/96303.jpg?s=b5b51cff7ba201e4f1acf37f4f44e224,TV (13 eps),Jan 2019 - Apr 2019,https://myanimelist.net/anime/37510/Mob_Psycho_100_II
30,Ousama Ranking,8.81,https://cdn.myanimelist.net/r/50x70/images/anime/1347/117616.jpg?s=1fc7d9cfcad3dfca1cee2e11b5b74ef4,TV (23 eps),Oct 2021 - Mar 2022,https://myanimelist.net/anime/40834/Ousama_Ranking
31,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.80,https://cdn.myanimelist.net/r/50x70/images/anime/7/81992.jpg?s=6d977383e0b5dc1ba1c122213178e547,TV (10 eps),Oct 2016 - Dec 2016,https://myanimelist.net/anime/32935/Haikyuu__Karasuno_Koukou_vs_Shiratorizawa_Gakuen_Koukou
32,Sen to Chihiro no Kamikakushi,8.79,https://cdn.myanimelist.net/r/50x70/images/anime/6/79597.jpg?s=1f170071bc9a54ce2ba3c0d8c7aa6927,Movie (1 eps),Jul 2001 - Jul 2001,https://myanimelist.net/anime/199/Sen_to_Chihiro_no_Kamikakushi
33,Monogatari Series: Second Season,8.78,https://cdn.myanimelist.net/r/50x70/images/anime/3/52133.jpg?s=b22811f98b26399cd65787af1447848c,TV (26 eps),Jul 2013 - Dec 2013,https://myanimelist.net/anime/17074/Monogatari_Series__Second_Season
34,Odd Taxi,8.77,https://cdn.myanimelist.net/r/50x70/images/anime/1981/113348.jpg?s=38082dbb5a64de5fc2129a59c46c3fe0,TV (13 eps),Apr 2021 - Jun 2021,https://myanimelist.net/anime/46102/Odd_Taxi
35,Kingdom 3rd Season,8.77,https://cdn.myanimelist.net/r/50x70/images/anime/1443/111830.jpg?s=a67f547ff56d05b36123d793df962b45,TV (26 eps),Apr 2020 - Oct 2021,https://myanimelist.net/anime/40682/Kingdom_3rd_Season
36,Cowboy Bebop,8.76,https://cdn.myanimelist.net/r/50x70/images/anime/4/19644.jpg?s=bb1e96eb0a0224a57aa45443eab92575,TV (26 eps),Apr 1998 - Apr 1999,https://myanimelist.net/anime/1/Cowboy_Bebop
37,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,8.76,https://cdn.myanimelist.net/r/50x70/images/anime/1028/117777.jpg?s=99ecca20cac2345fc956fda60a5e025f,TV (12 eps),Oct 2021 - Dec 2021,https://myanimelist.net/anime/45576/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu_Part_2
38,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,8.75,https://cdn.myanimelist.net/r/50x70/images/anime/10/82947.jpg?s=9f1dd28adde3fea5a733d1cfd7be7ad6,TV (12 eps),Jan 2017 - Mar 2017,https://myanimelist.net/anime/33095/Shouwa_Genroku_Rakugo_Shinjuu__Sukeroku_Futatabi-hen
39,Mushishi Zoku Shou 2nd Season,8.74,https://cdn.myanimelist.net/r/50x70/images/anime/9/68095.jpg?s=6025adedafce15a9d2c9363e225241ba,TV (10 eps),Oct 2014 - Dec 2014,https://myanimelist.net/anime/24701/Mushishi_Zoku_Shou_2nd_Season
40,Hajime no Ippo,8.74,https://cdn.myanimelist.net/r/50x70/images/anime/4/86334.jpg?s=4b3096d30158e251d87c196e56c04e63,TV (75 eps),Oct 2000 - Mar 2002,https://myanimelist.net/anime/263/Hajime_no_Ippo
